id,name,email,manager_id,project,role,interests_list,directly_managed_people,total_managed_people,dot_radius,skills_list
25,Eugene Tucker,Eugene.Tucker@fakegame.com,30,Karma mobile game,CTO,"['Perseverance', 'Self-Motivation', 'Independence']",8,8,9.545454545454545,['Cisco' 'React' 'PHP']
26,Terri Kestler,Terri.Kestler@fakegame.com,25,Karma mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PHP' 'C#' 'IOS']
27,Robert Flynn,Robert.Flynn@fakegame.com,25,Karma mobile game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['NodeJS' 'C#' 'C++']
28,Karen Puckett,Karen.Puckett@fakegame.com,25,Karma mobile game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['React' 'CUDA' 'NodeJS']
29,Nathanial Desantis,Nathanial.Desantis@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Hiring']",0,0,5.909090909090909,['MySQL' 'JS' 'Angular']
30,Jennifer Taylor,Jennifer.Taylor@fakegame.com,100,HR,Manager,"['People Management', 'Recruitment', 'Communication']",6,23,14.09090909090909,['Android' 'NodeJS' 'Java']
31,Charles Chavarria,Charles.Chavarria@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Hiring']",0,0,5.909090909090909,['React' 'Docker' 'JS' 'TypeScript']
32,David Teller,David.Teller@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Hiring']",0,0,5.909090909090909,['NodeJS' 'CUDA']
33,Jennifer Deangelis,Jennifer.Deangelis@fakegame.com,30,HR,HR,"['People Management', 'Recruitment', 'Conference']",0,0,5.909090909090909,['MySQL' 'AWS']
34,Virginia Dollar,Virginia.Dollar@fakegame.com,41,Outsourcing team,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['Kubernetes' 'Angular' 'IOS']
35,Rickie Kerr,Rickie.Kerr@fakegame.com,41,Outsourcing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['C#' 'Docker']
36,Dwight Quinn,Dwight.Quinn@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PostgreSQL' 'Angular']
37,Evelyn Massey,Evelyn.Massey@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Angular' 'CUDA']
38,John Dworaczyk,John.Dworaczyk@fakegame.com,41,Outsourcing team,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['Cisco' 'MySQL']
39,Pamela Nelson,Pamela.Nelson@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['C++' 'AWS' 'IOS' 'Oracle']
40,Troy Payne,Troy.Payne@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Java' 'Oracle' 'C++']
41,Marvin Kelly,Marvin.Kelly@fakegame.com,100,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",17,17,13.181818181818182,['NodeJS']
42,Ruben Thorne,Ruben.Thorne@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Oracle' 'Android']
43,William Lingner,William.Lingner@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['IOS' 'Android']
44,Lucien Ewing,Lucien.Ewing@fakegame.com,41,Outsourcing team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['NodeJS' 'CUDA' 'PostgreSQL']
45,Shanna Streeter,Shanna.Streeter@fakegame.com,41,Outsourcing team,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['PHP']
46,Teresa Bush,Teresa.Bush@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Docker' 'JS' 'Oracle']
47,Elisabeth Aslesen,Elisabeth.Aslesen@fakegame.com,41,Outsourcing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['C#' 'Kubernetes']
48,Cheryl Henry,Cheryl.Henry@fakegame.com,41,Outsourcing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['JS' 'Docker' 'Kubernetes']
49,Wendell Reagan,Wendell.Reagan@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['C#' 'TypeScript' 'C++']
50,George Niese,George.Niese@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['JS' 'Python']
51,Colleen Banach,Colleen.Banach@fakegame.com,41,Outsourcing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PHP' 'PostgreSQL']
52,Dorothy Ortega,Dorothy.Ortega@fakegame.com,55,Operation team,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['Python' 'Kubernetes']
53,Steven Syvertsen,Steven.Syvertsen@fakegame.com,55,Operation team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PostgreSQL' 'AWS' 'Oracle']
54,Kellee Lillie,Kellee.Lillie@fakegame.com,55,Operation team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['Oracle' 'PostgreSQL']
55,Jennifer Oldridge,Jennifer.Oldridge@fakegame.com,100,Operation team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",8,8,9.545454545454545,['NodeJS' 'AWS' 'Angular']
56,Nicholas Jones,Nicholas.Jones@fakegame.com,55,Operation team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['Kubernetes' 'Angular' 'MySQL']
57,Erin Ambriz,Erin.Ambriz@fakegame.com,55,Operation team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Kubernetes' 'IOS' 'Python']
58,Billie Adams,Billie.Adams@fakegame.com,55,Operation team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['NodeJS' 'Angular']
59,Raul Galloway,Raul.Galloway@fakegame.com,55,Operation team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['PHP' 'PostgreSQL']
60,Justin Jackson,Justin.Jackson@fakegame.com,55,Operation team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['MySQL' 'PostgreSQL' 'Oracle']
61,Herman Foley,Herman.Foley@fakegame.com,63,Marketing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['Python' 'CUDA']
62,Jennie Jutz,Jennie.Jutz@fakegame.com,63,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['JS']
63,Robert Wagner,Robert.Wagner@fakegame.com,100,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",12,12,11.363636363636363,['PostgreSQL' 'C++' 'C#']
64,Stephen Farnum,Stephen.Farnum@fakegame.com,63,Marketing team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['CUDA']
65,Charlene Faulk,Charlene.Faulk@fakegame.com,63,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Angular']
66,Naomi Wilhelm,Naomi.Wilhelm@fakegame.com,63,Marketing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['C#' 'Cisco']
67,Bruce Davis,Bruce.Davis@fakegame.com,63,Marketing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['JS' 'Python' 'TypeScript']
68,Bryce Hall,Bryce.Hall@fakegame.com,63,Marketing team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Cisco' 'Angular']
69,Barbara Zheng,Barbara.Zheng@fakegame.com,63,Marketing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['Android' 'TypeScript' 'C#']
70,Brent Lisowski,Brent.Lisowski@fakegame.com,63,Marketing team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['C#' 'TypeScript']
71,Virginia Loza,Virginia.Loza@fakegame.com,63,Marketing team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['PostgreSQL' 'Angular']
72,Jesse Wilkerson,Jesse.Wilkerson@fakegame.com,63,Marketing team,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['Cisco' 'React' 'NodeJS']
73,Anne Greenberg,Anne.Greenberg@fakegame.com,63,Marketing team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['Cisco' 'AWS']
74,Loretta Roberts,Loretta.Roberts@fakegame.com,78,Finance team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['MySQL' 'Docker' 'Kubernetes' 'C++']
75,Gayle Jack,Gayle.Jack@fakegame.com,78,Finance team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['React' 'C#' 'MySQL' 'CUDA']
76,Sandra Mondragon,Sandra.Mondragon@fakegame.com,78,Finance team,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['React' 'Cisco' 'Android']
77,Mathew Sims,Mathew.Sims@fakegame.com,78,Finance team,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['Python' 'C#' 'Angular']
78,Brent Straughn,Brent.Straughn@fakegame.com,100,Finance team,IT,"['Problem solving', 'Automation', 'Daily technologies']",5,5,8.636363636363637,['TypeScript' 'C++' 'Cisco']
79,Charles Campbell,Charles.Campbell@fakegame.com,78,Finance team,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PostgreSQL' 'NodeJS']
80,Latoya Anderson,Latoya.Anderson@fakegame.com,93,New fps game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['C++' 'Docker']
81,Margret Shields,Margret.Shields@fakegame.com,93,New fps game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['PHP' 'Angular' 'Kubernetes' 'PostgreSQL']
82,Regina Vasquez,Regina.Vasquez@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['Python' 'Docker' 'Cisco']
83,Ernest Fox,Ernest.Fox@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['MySQL' 'Oracle']
84,Jeffrey Draper,Jeffrey.Draper@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['PostgreSQL' 'Java' 'NodeJS' 'Kubernetes']
85,Michael Taylor,Michael.Taylor@fakegame.com,93,New fps game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['Angular']
86,Eileen Brehm,Eileen.Brehm@fakegame.com,93,New fps game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['NodeJS' 'MySQL']
87,Richard Causer,Richard.Causer@fakegame.com,93,New fps game,Manager,"['People Management', 'Budgeting', 'Hiring']",0,0,5.909090909090909,['TypeScript' 'PostgreSQL']
88,Christopher Rathbone,Christopher.Rathbone@fakegame.com,93,New fps game,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",0,0,5.909090909090909,['Docker' 'Android' 'MySQL']
89,James Vanderpool,James.Vanderpool@fakegame.com,93,New fps game,IT,"['Problem solving', 'Automation', 'Daily technologies']",0,0,5.909090909090909,['Android' 'TypeScript' 'MySQL' 'PHP']
90,Collen Williams,Collen.Williams@fakegame.com,93,New fps game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['Java' 'PostgreSQL' 'IOS']
91,Cristopher Crum,Cristopher.Crum@fakegame.com,93,New fps game,Sales,"['Sales tactic', 'Storytelling', 'Relation building']",0,0,5.909090909090909,['C#']
92,Laura Halliburton,Laura.Halliburton@fakegame.com,93,New fps game,Programmer,"['Perseverance', 'Self-Motivation', 'Independence']",0,0,5.909090909090909,['C#' 'Kubernetes']
93,Mary Viall,Mary.Viall@fakegame.com,100,Global distribution team,Director,"['Strategic Thinking', 'Communication', 'Decision Making']",13,13,12.272727272727273,['Python' 'Android']
94,Rebecca Franklin,Rebecca.Franklin@fakegame.com,100,Office management,Manager,"['Strategic Planning', 'Communication', 'Decision Making']",1,3,7.727272727272727,['CUDA' 'Android' 'Java']
95,Arlene Roehm,Arlene.Roehm@fakegame.com,100,DevRel,DevRel,"['Strategic Thinking', 'Communication', 'Decision Making', 'Drinking']",0,0,5.909090909090909,['C#' 'Cisco' 'Docker' 'MySQL']
96,Jan Knock,Jan.Knock@fakegame.com,100,Admin,IT,"['Problem solving', 'Automation', 'Daily technologies', 'Linux']",0,0,5.909090909090909,['Python']
97,Sandra Bellomo,Sandra.Bellomo@fakegame.com,94,Office management,Office management,"['Budgeting', 'Events']",2,2,6.818181818181818,['JS' 'AWS']
98,David Gieck,David.Gieck@fakegame.com,97,Office management,Office management,"['Budgeting', 'Events']",0,0,5.909090909090909,['IOS' 'PHP' 'Kubernetes' 'Oracle']
99,Bob Toman,Bob.Toman@fakegame.com,97,Office management,Office management,"['Budgeting', 'Office supplies']",0,0,5.909090909090909,['TypeScript']
100,John Loftis,John.Loftis@fakegame.com,0,Fake game,CEO,"['People Management', 'Budgeting', 'Hiring']",10,99,15.0,['NodeJS' 'TypeScript']
